Province,Island,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Population,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate (%),Case Recovered Rate (%),Growth Factor of New Cases,Growth Factor of New Deaths,Cluster
Nusa Tenggara Timur,Nusa Tenggara,488,17,254,217,27796,536,18272,8988,5411321,90,5137,3,99,2,66,1,2,1
Papua Barat,Papua,295,3,474,-182,15748,231,11482,4035,1140701,259,13806,3,203,1,73,0,0,1
Riau,Sumatera,999,21,517,461,81259,2161,71427,7671,6074100,164,13378,3,356,3,88,1,1,1
Sulawesi Barat,Sulawesi,75,0,32,43,6829,136,5811,882,1559984,48,4378,0,87,2,85,1,0,1
Sulawesi Selatan,Sulawesi,772,11,259,502,71803,1074,64401,6328,9426885,82,7617,1,114,2,90,1,1,1
Sulawesi Tengah,Sulawesi,337,7,61,269,16542,466,13604,2472,2955567,114,5597,2,158,3,82,1,2,1
Sulawesi Tenggara,Sulawesi,176,2,147,27,13658,276,11209,2173,2635461,67,5182,1,105,2,82,1,1,1
Sulawesi Utara,Sulawesi,261,5,20,236,19417,602,15872,2943,2641884,99,7350,2,228,3,82,1,1,1
Sumatera Barat,Sumatera,637,11,290,336,60708,1332,51190,8186,5519245,115,10999,2,241,2,84,1,1,1
Sumatera Selatan,Sumatera,771,22,406,343,36390,1675,29142,5573,8217551,94,4428,3,204,5,80,1,1,1
Sumatera Utara,Sumatera,1004,12,207,785,43725,1308,35165,7252,14874889,68,2940,1,88,3,80,1,1,1
Aceh,Sumatera,63,8,85,-30,20950,921,16169,3860,5247257,12,3993,2,176,4,77,1,1,1
Bali,Nusa Tenggara,944,21,465,458,61179,1769,52112,7298,4216171,224,14511,5,420,3,85,1,1,1
Banten,Jawa,3138,9,310,2819,87712,1555,55418,30739,10722374,293,8180,1,145,2,63,1,1,1
Bengkulu,Sumatera,468,3,231,234,14003,224,10555,3224,1999539,234,7003,2,112,2,75,2,1,1
DKI Jakarta,Jawa,9129,158,11852,-2881,746310,10166,627482,108662,10846145,842,68809,15,937,1,84,1,2,1
Daerah Istimewa Yogyakarta,Jawa,2119,48,779,1292,92084,2387,62424,27273,3631015,584,25360,13,657,3,68,1,1,1
Gorontalo,Sulawesi,102,0,31,71,6792,196,5812,784,1180651,86,5753,0,166,3,86,2,0,1
Jambi,Sumatera,442,7,151,284,16441,316,12857,3268,3493357,127,4706,2,90,2,78,1,4,1
Jawa Barat,Jawa,7758,94,4394,3270,519021,7583,403443,107995,45161325,172,11493,2,168,1,78,1,1,1
Jawa Tengah,Jawa,4513,179,3440,894,322379,14739,245886,61754,36364072,124,8865,5,405,5,76,1,1,1
Jawa Timur,Jawa,5706,332,3007,2367,239148,16152,180036,42960,40479023,141,5908,8,399,7,75,1,1,1
Kalimantan Barat,Kalimantan,358,11,463,-116,21149,489,15985,4675,5422814,66,3900,2,90,2,76,1,1,1
Kalimantan Selatan,Kalimantan,299,5,104,190,40028,1140,35530,3358,4023049,74,9950,1,283,3,89,0,1,1
Kalimantan Tengah,Kalimantan,305,11,160,134,30347,583,21833,7931,2570289,119,11807,4,227,2,72,1,11,1
Kalimantan Timur,Kalimantan,1514,51,708,755,96562,2394,78487,15681,3552191,426,27184,14,674,2,81,1,1,1
Kalimantan Utara,Kalimantan,284,3,173,108,16286,243,13123,2920,648407,438,25117,5,375,1,81,1,0,1
Kepulauan Bangka Belitung,Sumatera,309,10,271,28,26778,455,22370,3953,1379767,224,19408,7,330,2,84,1,1,1
Kepulauan Riau,Sumatera,928,31,347,550,36581,824,27647,8110,1929400,481,18960,16,427,2,76,1,1,1
Lampung,Sumatera,677,12,176,489,28008,1254,20790,5964,9095591,74,3079,1,138,4,74,2,6,1
Maluku,Maluku,69,0,23,46,12127,188,7914,4025,1847097,37,6565,0,102,2,65,1,0,1
Maluku Utara,Maluku,84,6,90,-12,8204,179,5270,2755,1307803,64,6273,5,137,2,64,0,2,1
Nusa Tenggara Barat,Nusa Tenggara,333,2,210,121,16331,530,13330,2471,5270247,63,3099,0,101,3,82,1,0,1
Nusa Tenggara Timur,Nusa Tenggara,565,2,141,422,28361,538,18413,9410,5411321,104,5241,0,99,2,65,1,0,1
Papua,Papua,135,3,63,69,23384,293,11792,11299,4340348,31,5388,1,68,1,50,1,3,1
Papua Barat,Papua,156,3,147,6,15904,234,11629,4041,1140701,137,13942,3,205,1,73,1,1,1
Riau,Sumatera,847,28,638,181,82106,2189,72065,7852,6074100,139,13517,5,360,3,88,1,1,1
Sulawesi Selatan,Sulawesi,434,17,347,70,72237,1091,64748,6398,9426885,46,7663,2,116,2,90,1,2,1
Sulawesi Tengah,Sulawesi,251,7,72,172,16793,473,13676,2644,2955567,85,5682,2,160,3,81,1,1,1
Sulawesi Tenggara,Sulawesi,159,6,126,27,13817,282,11335,2200,2635461,60,5243,2,107,2,82,1,3,1
Sulawesi Utara,Sulawesi,306,6,88,212,19723,608,15960,3155,2641884,116,7466,2,230,3,81,1,1,1
Sumatera Barat,Sumatera,642,4,317,321,61350,1336,51507,8507,5519245,116,11116,1,242,2,84,1,0,1
Sumatera Selatan,Sumatera,556,21,294,241,36946,1696,29436,5814,8217551,68,4496,3,206,5,80,1,1,1
Sumatera Utara,Sumatera,814,14,217,583,44539,1322,35382,7835,14874889,55,2994,1,89,3,79,1,1,1
Aceh,Sumatera,11,3,49,-41,20961,924,16218,3819,5247257,2,3995,1,176,4,77,0,0,1
Bali,Nusa Tenggara,837,25,617,195,62016,1794,52729,7493,4216171,199,14709,6,426,3,85,1,1,1
Banten,Jawa,2165,5,399,1761,89877,1560,55817,32500,10722374,202,8382,0,145,2,62,1,1,1
Bengkulu,Sumatera,116,2,133,-19,14119,226,10688,3205,1999539,58,7061,1,113,2,76,0,1,1
DKI Jakarta,Jawa,5000,250,12659,-7909,751310,10416,640141,100753,10846145,461,69270,23,960,1,85,1,2,0
Daerah Istimewa Yogyakarta,Jawa,1992,53,1333,606,94076,2440,63757,27879,3631015,549,25909,15,672,3,68,1,1,1
Gorontalo,Sulawesi,134,0,5,129,6926,196,5817,913,1180651,113,5866,0,166,3,84,1,1,1
Jambi,Sumatera,207,1,101,105,16648,317,12958,3373,3493357,59,4766,0,91,2,78,0,0,1
Jawa Barat,Jawa,7662,79,5711,1872,526683,7662,409154,109867,45161325,170,11662,2,170,1,78,1,1,1
