Province,Island,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Population,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate (%),Case Recovered Rate (%),Growth Factor of New Cases,Growth Factor of New Deaths,Cluster
Papua,Papua,21,0,30,-9,3278,36,1884,1358,4340348,5,755,0,8,1,57,0,1,1
Papua Barat,Papua,5,0,23,-18,557,6,386,165,1140701,4,488,0,5,1,69,5,1,1
Riau,Sumatera,41,0,23,18,775,14,406,355,6074100,7,128,0,2,2,52,2,0,1
Sulawesi Barat,Sulawesi,0,0,0,0,275,5,172,98,1559984,0,176,0,3,2,63,1,1,1
Sulawesi Selatan,Sulawesi,60,0,54,6,10460,330,7249,2881,9426885,6,1110,0,35,3,69,1,1,1
Sulawesi Tenggara,Sulawesi,0,0,21,-21,1020,17,714,289,2635461,0,387,0,6,2,70,0,1,1
Sulawesi Utara,Sulawesi,72,0,20,52,2976,141,1642,1193,2641884,27,1126,0,53,5,55,2,0,1
Sumatera Barat,Sumatera,36,0,9,27,1176,34,820,322,5519245,7,213,0,6,3,70,1,1,1
Sumatera Selatan,Sumatera,19,3,79,-63,3713,199,2312,1202,8217551,2,452,0,24,5,62,1,0,1
Sumatera Utara,Sumatera,129,1,27,101,4948,225,2107,2616,14874889,9,333,0,15,5,43,5,0,1
Bali,Nusa Tenggara,45,0,12,33,3858,21,1115,2722,4216171,11,915,0,5,1,29,1,1,1
Banten,Jawa,19,2,18,-1,2061,109,1704,248,10722374,2,192,0,10,5,83,1,2,1
Bengkulu,Sumatera,5,0,2,3,258,22,151,85,1999539,2,129,0,11,9,59,5,0,1
DKI Jakarta,Jawa,462,12,184,266,26622,952,16721,8949,10846145,43,2455,1,88,4,63,1,6,1
Daerah Istimewa Yogyakarta,Jawa,4,0,16,-12,879,25,610,244,3631015,1,242,0,7,3,69,0,0,1
Gorontalo,Sulawesi,3,0,56,-53,1616,40,1188,388,1180651,3,1369,0,34,2,74,0,0,1
Jawa Tengah,Jawa,86,3,136,-53,13775,1039,9208,3528,36364072,2,379,0,29,8,67,1,0,1
Jawa Timur,Jawa,288,23,277,-12,25753,2225,18734,4794,40479023,7,636,1,55,9,73,1,1,1
Kalimantan Barat,Kalimantan,4,0,0,4,420,4,380,36,5422814,1,77,0,1,1,90,1,1,1
Kalimantan Selatan,Kalimantan,71,1,82,-12,6836,307,4135,2394,4023049,18,1699,0,76,4,60,1,1,1
Kalimantan Timur,Kalimantan,128,3,68,57,2060,59,1333,668,3552191,36,580,1,17,3,65,3,1,1
Kalimantan Utara,Kalimantan,3,0,0,3,299,2,279,18,648407,5,461,0,3,1,93,2,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,0,0,204,2,190,12,1379767,0,148,0,1,1,93,0,1,1
Kepulauan Riau,Sumatera,16,0,6,10,572,24,333,215,1929400,8,296,0,12,4,58,1,1,1
Lampung,Sumatera,2,0,1,1,318,13,228,77,9095591,0,35,0,1,4,72,0,1,1
Maluku,Maluku,2,0,53,-51,1347,26,857,464,1847097,1,729,0,14,2,64,0,1,1
Maluku Utara,Maluku,11,0,13,-2,1691,56,873,762,1307803,8,1293,0,43,3,52,2,0,1
Nusa Tenggara Barat,Nusa Tenggara,22,3,55,-36,2338,128,1488,722,5270247,4,444,1,24,5,64,1,2,1
Papua,Papua,1,0,56,-55,3279,36,1940,1303,4340348,0,755,0,8,1,59,0,1,1
Papua Barat,Papua,1,0,6,-5,558,6,392,160,1140701,1,489,0,5,1,70,0,1,1
Riau,Sumatera,17,0,21,-4,792,14,427,351,6074100,3,130,0,2,2,54,0,1,1
Sumatera Barat,Sumatera,13,0,9,4,1189,34,829,326,5519245,2,215,0,6,3,70,0,1,1
Sumatera Selatan,Sumatera,22,2,60,-40,3735,201,2372,1162,8217551,3,455,0,24,5,64,1,1,1
Sumatera Utara,Sumatera,207,4,40,163,5155,229,2147,2779,14874889,14,347,0,15,4,42,2,4,1
Bali,Nusa Tenggara,30,0,1,29,3888,21,1116,2751,4216171,7,922,0,5,1,29,1,1,1
Banten,Jawa,48,1,16,31,2109,110,1720,279,10722374,4,197,0,10,5,82,3,0,1
DKI Jakarta,Jawa,529,15,822,-308,27151,967,17543,8641,10846145,49,2503,1,89,4,65,1,1,1
Jawa Barat,Jawa,125,1,80,44,8312,240,4727,3345,45161325,3,184,0,5,3,57,1,0,1
Jawa Tengah,Jawa,181,20,137,24,13956,1059,9345,3552,36364072,5,384,1,29,8,67,2,7,1
Jawa Timur,Jawa,298,34,450,-186,26051,2259,19184,4608,40479023,7,644,1,56,9,74,1,1,1
Kalimantan Barat,Kalimantan,9,0,0,9,429,4,380,45,5422814,2,79,0,1,1,89,2,1,1
Kalimantan Selatan,Kalimantan,53,2,86,-35,6889,309,4221,2359,4023049,13,1712,0,77,4,61,1,2,1
Kalimantan Tengah,Kalimantan,6,0,30,-24,2087,97,1488,502,2570289,2,812,0,38,5,71,0,0,1
Kalimantan Timur,Kalimantan,46,2,51,-7,2106,61,1384,661,3552191,13,593,1,17,3,66,0,1,1
Kalimantan Utara,Kalimantan,4,0,0,4,303,2,279,22,648407,6,467,0,3,1,92,1,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,6,-6,204,2,196,6,1379767,0,148,0,1,1,96,1,1,1
Lampung,Sumatera,2,0,2,0,320,13,230,77,9095591,0,35,0,1,4,72,1,1,1
Maluku,Maluku,20,0,29,-9,1367,26,886,455,1847097,11,740,0,14,2,65,10,1,1
Nusa Tenggara Barat,Nusa Tenggara,24,1,54,-31,2362,129,1542,691,5270247,5,448,0,24,5,65,1,0,1
Nusa Tenggara Timur,Nusa Tenggara,7,0,6,1,162,1,137,24,5411321,1,30,0,0,1,85,2,1,1
Papua,Papua,26,0,15,11,3305,36,1955,1314,4340348,6,761,0,8,1,59,26,1,1
Riau,Sumatera,33,0,10,23,825,14,437,374,6074100,5,136,0,2,2,53,2,1,1
Sulawesi Selatan,Sulawesi,90,1,62,27,10604,333,7429,2842,9426885,10,1125,0,35,3,70,2,0,1
Sulawesi Utara,Sulawesi,12,0,30,-18,3024,144,1723,1157,2641884,5,1145,0,55,5,57,0,0,1
Sumatera Selatan,Sumatera,43,2,1,40,3778,203,2373,1202,8217551,5,460,0,25,5,63,2,1,1
Sumatera Utara,Sumatera,109,2,51,56,5264,231,2198,2835,14874889,7,354,0,16,4,42,1,0,1
Aceh,Sumatera,1,1,0,0,749,23,192,534,5247257,0,143,0,4,3,26,0,0,1
Bali,Nusa Tenggara,35,0,13,22,3923,21,1129,2773,4216171,8,930,0,5,1,29,1,1,1
Banten,Jawa,37,2,16,19,2146,112,1736,298,10722374,3,200,0,10,5,81,1,2,1
Bengkulu,Sumatera,4,0,7,-3,264,24,158,82,1999539,2,132,0,12,9,60,2,0,1
DKI Jakarta,Jawa,608,11,400,197,27759,978,17943,8838,10846145,56,2559,1,90,4,65,1,1,1
Daerah Istimewa Yogyakarta,Jawa,11,0,13,-2,910,26,648,236,3631015,3,251,0,7,3,71,1,0,1
Gorontalo,Sulawesi,8,0,24,-16,1671,41,1244,386,1180651,7,1415,0,35,2,74,0,0,1
Jambi,Sumatera,0,0,0,0,215,5,123,87,3493357,0,62,0,1,2,57,0,1,1
Jawa Barat,Jawa,176,3,18,155,8488,243,4745,3500,45161325,4,188,0,5,3,56,1,3,1
Jawa Tengah,Jawa,204,14,118,72,14160,1073,9463,3624,36364072,6,389,0,30,8,67,1,1,1
Jawa Timur,Jawa,327,36,569,-278,26378,2295,19753,4330,40479023,8,652,1,57,9,75,1,1,1
Kalimantan Barat,Kalimantan,10,0,18,-8,439,4,398,37,5422814,2,81,0,1,1,91,1,1,1
Kalimantan Selatan,Kalimantan,45,4,26,15,6934,313,4247,2374,4023049,11,1724,1,78,5,61,1,2,1
Kalimantan Timur,Kalimantan,23,1,30,-8,2129,62,1414,653,3552191,6,599,0,17,3,66,0,0,1
Kalimantan Utara,Kalimantan,9,0,7,2,312,2,286,24,648407,14,481,0,3,1,92,2,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,0,0,204,2,196,6,1379767,0,148,0,1,1,96,1,1,1
Kepulauan Riau,Sumatera,15,1,31,-17,614,26,364,224,1929400,8,318,1,13,4,59,1,1,1
Lampung,Sumatera,7,0,4,3,327,13,234,80,9095591,1,36,0,1,4,72,4,1,1
Maluku,Maluku,39,0,24,15,1406,26,910,470,1847097,21,761,0,14,2,65,2,1,1
Maluku Utara,Maluku,8,0,36,-28,1717,59,960,698,1307803,6,1313,0,45,3,56,0,0,1
Nusa Tenggara Barat,Nusa Tenggara,13,0,48,-35,2375,129,1590,656,5270247,2,451,0,24,5,67,1,0,1
Nusa Tenggara Timur,Nusa Tenggara,0,0,0,0,162,1,137,24,5411321,0,30,0,0,1,85,0,1,1
Papua,Papua,31,0,9,22,3336,36,1964,1336,4340348,7,769,0,8,1,59,1,1,1
Papua Barat,Papua,24,0,19,5,595,7,419,169,1140701,21,522,0,6,1,70,2,0,1
Riau,Sumatera,68,0,46,22,893,14,483,396,6074100,11,147,0,2,2,54,2,1,1
Sulawesi Selatan,Sulawesi,71,1,59,11,10675,334,7488,2853,9426885,8,1132,0,35,3,70,1,1,1
Sulawesi Tengah,Sulawesi,0,0,1,-1,220,7,197,16,2955567,0,74,0,2,3,90,0,1,1
Sulawesi Tenggara,Sulawesi,30,0,38,-8,1106,18,769,319,2635461,11,420,0,7,2,70,1,0,1
Sulawesi Utara,Sulawesi,126,0,20,106,3150,144,1743,1263,2641884,48,1192,0,55,5,55,10,1,1
Sumatera Barat,Sumatera,42,1,20,21,1258,37,860,361,5519245,8,228,0,7,3,68,2,0,1
Sumatera Selatan,Sumatera,27,0,43,-16,3805,203,2416,1186,8217551,3,463,0,25,5,63,1,0,1
Sumatera Utara,Sumatera,94,5,148,-59,5358,236,2346,2776,14874889,6,360,0,16,4,44,1,2,1
Aceh,Sumatera,92,0,0,92,841,23,192,626,5247257,18,160,0,4,3,23,92,0,1
Bali,Nusa Tenggara,53,0,4,49,3976,21,1133,2822,4216171,13,943,0,5,1,29,2,1,1
Banten,Jawa,21,2,9,10,2167,114,1745,308,10722374,2,202,0,11,5,81,1,1,1
Bengkulu,Sumatera,10,0,0,10,274,24,158,92,1999539,5,137,0,12,9,58,2,1,1
DKI Jakarta,Jawa,538,4,694,-160,28297,982,18637,8678,10846145,50,2609,0,91,3,66,1,0,1
Jawa Barat,Jawa,290,3,28,259,8778,246,4773,3759,45161325,6,194,0,5,3,54,2,1,1
Jawa Tengah,Jawa,192,11,62,119,14352,1084,9525,3743,36364072,5,395,0,30,8,66,1,1,1
Jawa Timur,Jawa,402,41,359,2,26780,2336,20112,4332,40479023,10,662,1,58,9,75,1,1,1
Kalimantan Barat,Kalimantan,5,0,1,4,444,4,399,41,5422814,1,82,0,1,1,90,0,1,1
Kalimantan Selatan,Kalimantan,55,2,57,-4,6989,315,4304,2370,4023049,14,1737,0,78,5,62,1,0,1
Kalimantan Tengah,Kalimantan,20,1,22,-3,2151,100,1581,470,2570289,8,837,0,39,5,74,0,0,1
Kalimantan Timur,Kalimantan,98,4,67,27,2227,66,1481,680,3552191,28,627,1,19,3,66,4,4,1
Kalimantan Utara,Kalimantan,0,0,0,0,312,2,286,24,648407,0,481,0,3,1,92,0,1,1
Kepulauan Riau,Sumatera,12,0,18,-6,626,26,382,218,1929400,6,324,0,13,4,61,1,0,1
Lampung,Sumatera,5,0,0,5,332,13,234,85,9095591,1,36,0,1,4,70,1,1,1
Maluku,Maluku,10,0,1,9,1416,26,911,479,1847097,5,767,0,14,2,64,0,1,1
Maluku Utara,Maluku,12,0,0,12,1729,59,960,710,1307803,9,1322,0,45,3,56,2,1,1
Nusa Tenggara Barat,Nusa Tenggara,24,0,18,6,2399,129,1608,662,5270247,5,455,0,24,5,67,2,1,1
Nusa Tenggara Timur,Nusa Tenggara,0,0,0,0,162,1,137,24,5411321,0,30,0,0,1,85,1,1,1
Papua,Papua,9,0,3,6,3345,36,1967,1342,4340348,2,771,0,8,1,59,0,1,1
Papua Barat,Papua,0,0,19,-19,595,7,438,150,1140701,0,522,0,6,1,74,0,1,1
Riau,Sumatera,27,0,52,-25,920,14,535,371,6074100,4,151,0,2,2,58,0,1,1
Sulawesi Barat,Sulawesi,12,0,4,8,299,7,191,101,1559984,8,192,0,4,2,64,2,0,1
Sulawesi Selatan,Sulawesi,35,4,120,-89,10710,338,7608,2764,9426885,4,1136,0,36,3,71,0,4,1
Sulawesi Tenggara,Sulawesi,33,0,43,-10,1139,18,812,309,2635461,13,432,0,7,2,71,1,1,1
Sulawesi Utara,Sulawesi,61,0,82,-21,3211,144,1825,1242,2641884,23,1215,0,55,4,57,0,1,1
Sumatera Barat,Sumatera,42,1,15,26,1300,38,875,387,5519245,8,236,0,7,3,67,1,1,1
Sumatera Utara,Sumatera,69,4,101,-36,5427,240,2447,2740,14874889,5,365,0,16,4,45,1,1,1
Bali,Nusa Tenggara,44,0,4,40,4020,21,1137,2862,4216171,10,953,0,5,1,28,1,1,1
Banten,Jawa,33,1,35,-3,2200,115,1780,305,10722374,3,205,0,11,5,81,2,0,1
Bengkulu,Sumatera,3,0,0,3,277,24,158,95,1999539,2,139,0,12,9,57,0,1,1
DKI Jakarta,Jawa,583,6,527,50,28880,988,19164,8728,10846145,54,2663,1,91,3,66,1,2,1
Daerah Istimewa Yogyakarta,Jawa,46,0,4,42,991,28,664,299,3631015,13,273,0,8,3,67,1,0,1
Gorontalo,Sulawesi,40,1,18,21,1714,44,1287,383,1180651,34,1452,1,37,3,75,13,0,1
Jambi,Sumatera,3,0,1,2,225,5,125,95,3493357,1,64,0,1,2,56,0,1,1
Jawa Barat,Jawa,266,0,49,217,9044,246,4822,3976,45161325,6,200,0,5,3,53,1,0,1
Jawa Tengah,Jawa,132,5,64,63,14484,1089,9589,3806,36364072,4,398,0,30,8,66,1,0,1
Jawa Timur,Jawa,416,27,366,23,27196,2363,20478,4355,40479023,10,672,1,58,9,75,1,1,1
Kalimantan Barat,Kalimantan,3,0,6,-3,447,4,405,38,5422814,1,82,0,1,1,91,1,1,1
Kalimantan Selatan,Kalimantan,62,3,36,23,7051,318,4340,2393,4023049,15,1753,1,79,5,62,1,2,1
Kalimantan Tengah,Kalimantan,37,0,30,7,2188,100,1611,477,2570289,14,851,0,39,5,74,2,0,1
Kalimantan Timur,Kalimantan,56,1,12,43,2283,67,1493,723,3552191,16,643,0,19,3,65,1,0,1
Kepulauan Bangka Belitung,Sumatera,2,0,0,2,208,2,196,10,1379767,1,151,0,1,1,94,1,1,1
Lampung,Sumatera,0,0,13,-13,332,13,247,72,9095591,0,36,0,1,4,74,0,1,1
Maluku Utara,Maluku,10,0,48,-38,1739,59,1008,672,1307803,8,1330,0,45,3,58,1,1,1
Papua,Papua,0,0,36,-36,3345,36,2003,1306,4340348,0,771,0,8,1,60,0,1,1
Riau,Sumatera,41,0,45,-4,961,14,580,367,6074100,7,158,0,2,1,60,2,1,1
Sulawesi Barat,Sulawesi,7,0,12,-5,306,7,203,96,1559984,4,196,0,4,2,66,1,1,1
Sulawesi Selatan,Sulawesi,78,0,61,17,10788,338,7669,2781,9426885,8,1144,0,36,3,71,2,0,1
Sulawesi Tengah,Sulawesi,0,0,0,0,223,7,197,19,2955567,0,75,0,2,3,88,0,1,1
Sulawesi Tenggara,Sulawesi,28,0,9,19,1167,18,821,328,2635461,11,443,0,7,2,70,1,1,1
Sumatera Barat,Sumatera,37,0,19,18,1337,38,894,405,5519245,7,242,0,7,3,67,1,0,1
Sumatera Selatan,Sumatera,36,1,36,-1,3880,206,2564,1110,8217551,4,472,0,25,5,66,1,0,1
Sumatera Utara,Sumatera,195,3,73,119,5622,243,2520,2859,14874889,13,378,0,16,4,45,3,1,1
Aceh,Sumatera,11,0,0,11,877,25,192,660,5247257,2,167,0,5,3,22,0,0,1
Bali,Nusa Tenggara,41,0,15,26,4061,21,1152,2888,4216171,10,963,0,5,1,28,1,1,1
Banten,Jawa,43,1,18,24,2243,116,1798,329,10722374,4,209,0,11,5,80,1,1,1
Bengkulu,Sumatera,2,0,0,2,279,24,158,97,1999539,1,140,0,12,9,57,1,1,1
DKI Jakarta,Jawa,518,1,654,-137,29398,989,19818,8591,10846145,48,2710,0,91,3,67,1,0,1
Daerah Istimewa Yogyakarta,Jawa,33,0,13,20,1024,28,677,319,3631015,9,282,0,8,3,66,1,1,1
Gorontalo,Sulawesi,6,0,16,-10,1720,44,1303,373,1180651,5,1457,0,37,3,76,0,0,1
Jambi,Sumatera,0,0,0,0,225,5,125,95,3493357,0,64,0,1,2,56,0,1,1
Jawa Tengah,Jawa,168,7,62,99,14652,1096,9651,3905,36364072,5,403,0,30,7,66,1,1,1
Jawa Timur,Jawa,471,23,389,59,27667,2386,20867,4414,40479023,12,683,1,59,9,75,1,1,1
Kalimantan Barat,Kalimantan,0,0,2,-2,447,4,407,36,5422814,0,82,0,1,1,91,0,1,1
Kalimantan Selatan,Kalimantan,100,0,83,17,7151,318,4423,2410,4023049,25,1778,0,79,4,62,2,0,1
Kalimantan Tengah,Kalimantan,0,0,0,0,2188,100,1611,477,2570289,0,851,0,39,5,74,0,1,1
Kalimantan Timur,Kalimantan,85,23,54,8,2368,90,1547,731,3552191,24,667,6,25,4,65,2,23,1
Kalimantan Utara,Kalimantan,3,0,0,3,328,2,286,40,648407,5,506,0,3,1,87,0,1,1
Kepulauan Bangka Belitung,Sumatera,5,0,1,4,213,2,197,14,1379767,4,154,0,1,1,92,2,1,1
Kepulauan Riau,Sumatera,10,1,2,7,658,28,389,241,1929400,5,341,1,15,4,59,0,1,1
Maluku,Maluku,47,0,9,38,1495,29,947,519,1847097,25,809,0,16,2,63,1,0,1
Maluku Utara,Maluku,2,0,23,-21,1741,59,1031,651,1307803,2,1331,0,45,3,59,0,1,1
Nusa Tenggara Barat,Nusa Tenggara,15,0,20,-5,2436,131,1643,662,5270247,3,462,0,25,5,67,1,0,1
Nusa Tenggara Timur,Nusa Tenggara,0,0,0,0,165,1,138,26,5411321,0,30,0,0,1,84,0,1,1
Papua Barat,Papua,4,0,11,-7,605,7,451,147,1140701,4,530,0,6,1,75,1,1,1
Sulawesi Barat,Sulawesi,1,0,8,-7,307,7,211,89,1559984,1,197,0,4,2,69,0,1,1
Sulawesi Selatan,Sulawesi,101,0,62,39,10889,338,7731,2820,9426885,11,1155,0,36,3,71,1,1,1
Sulawesi Tengah,Sulawesi,0,0,0,0,223,7,197,19,2955567,0,75,0,2,3,88,1,1,1
Sulawesi Tenggara,Sulawesi,35,0,8,27,1202,18,829,355,2635461,13,456,0,7,2,69,1,1,1
Sulawesi Utara,Sulawesi,21,2,91,-72,3282,147,1971,1164,2641884,8,1242,1,56,4,60,0,2,1
Sumatera Selatan,Sumatera,29,0,35,-6,3909,206,2599,1104,8217551,4,476,0,25,5,66,1,0,1
Sumatera Utara,Sumatera,51,2,102,-53,5673,245,2622,2806,14874889,3,381,0,16,4,46,0,1,1
Aceh,Sumatera,168,0,0,168,1045,25,192,828,5247257,32,199,0,5,2,18,15,1,1
Bali,Nusa Tenggara,45,0,12,33,4106,21,1164,2921,4216171,11,974,0,5,1,28,1,1,1
Banten,Jawa,17,0,6,11,2260,116,1804,340,10722374,2,211,0,11,5,80,0,0,1
Bengkulu,Sumatera,0,0,0,0,279,24,158,97,1999539,0,140,0,12,9,57,0,1,1
DKI Jakarta,Jawa,552,14,209,329,29950,1003,20027,8920,10846145,51,2761,1,92,3,67,1,14,1
Daerah Istimewa Yogyakarta,Jawa,16,0,7,9,1040,28,684,328,3631015,4,286,0,8,3,66,0,1,1
Jawa Barat,Jawa,61,0,54,7,9177,250,4926,4001,45161325,1,203,0,6,3,54,1,0,1
Jawa Tengah,Jawa,36,5,43,-12,14688,1101,9694,3893,36364072,1,404,0,30,8,66,0,1,1
Jawa Timur,Jawa,313,27,389,-103,27980,2413,21256,4311,40479023,8,691,1,60,9,76,1,1,1
Kalimantan Barat,Kalimantan,0,0,0,0,447,4,407,36,5422814,0,82,0,1,1,91,1,1,1
Kalimantan Timur,Kalimantan,116,5,66,45,2484,95,1613,776,3552191,33,699,1,27,4,65,1,0,1
Kalimantan Utara,Kalimantan,1,0,2,-1,329,2,288,39,648407,2,507,0,3,1,88,0,1,1
Kepulauan Bangka Belitung,Sumatera,2,0,0,2,215,2,197,16,1379767,1,156,0,1,1,92,0,1,1
Kepulauan Riau,Sumatera,12,0,8,4,670,28,397,245,1929400,6,347,0,15,4,59,1,0,1
Lampung,Sumatera,2,0,31,-29,343,14,278,51,9095591,0,38,0,2,4,81,0,0,1
Maluku Utara,Maluku,3,0,6,-3,1744,59,1037,648,1307803,2,1334,0,45,3,59,2,1,1
Nusa Tenggara Timur,Nusa Tenggara,0,0,0,0,165,1,138,26,5411321,0,30,0,0,1,84,1,1,1
Papua,Papua,10,0,4,6,3432,37,2027,1368,4340348,2,791,0,9,1,59,0,0,1
Papua Barat,Papua,2,0,1,1,607,7,452,148,1140701,2,532,0,6,1,74,0,1,1
Riau,Sumatera,34,1,17,16,1018,16,617,385,6074100,6,168,0,3,2,61,1,1,1
Sulawesi Barat,Sulawesi,12,0,0,12,319,7,211,101,1559984,8,204,0,4,2,66,12,1,1
Sulawesi Tenggara,Sulawesi,14,0,13,1,1216,18,842,356,2635461,5,461,0,7,1,69,0,1,1
Sulawesi Utara,Sulawesi,6,1,68,-63,3288,148,2039,1101,2641884,2,1245,0,56,4,62,0,0,1
Sumatera Barat,Sumatera,26,1,18,7,1376,41,920,415,5519245,5,249,0,7,3,67,2,0,1
Sumatera Selatan,Sumatera,1,0,28,-27,3910,206,2627,1077,8217551,0,476,0,25,5,67,0,1,1
Sumatera Utara,Sumatera,17,3,46,-32,5690,248,2668,2774,14874889,1,383,0,17,4,47,0,2,1
Bali,Nusa Tenggara,48,0,9,39,4154,21,1173,2960,4216171,11,985,0,5,1,28,1,1,1
Banten,Jawa,64,0,29,35,2324,116,1833,375,10722374,6,217,0,11,5,79,4,1,1
DKI Jakarta,Jawa,513,19,589,-95,30463,1022,20616,8825,10846145,47,2809,2,94,3,68,1,1,1
Gorontalo,Sulawesi,33,0,52,-19,1820,46,1359,415,1180651,28,1542,0,39,3,75,0,0,1
Jambi,Sumatera,0,0,0,0,245,5,126,114,3493357,0,70,0,1,2,51,0,1,1
Jawa Tengah,Jawa,118,12,100,6,14806,1113,9794,3899,36364072,3,407,0,31,8,66,3,2,1
Jawa Timur,Jawa,318,24,363,-69,28298,2437,21619,4242,40479023,8,699,1,60,9,76,1,1,1
Kalimantan Selatan,Kalimantan,40,0,40,0,7281,324,4589,2368,4023049,10,1810,0,81,4,63,0,0,1
Kalimantan Timur,Kalimantan,93,1,34,58,2577,96,1647,834,3552191,26,725,0,27,4,64,1,0,1
Kalimantan Utara,Kalimantan,0,0,6,-6,329,2,294,33,648407,0,507,0,3,1,89,0,1,1
Kepulauan Bangka Belitung,Sumatera,2,0,2,0,217,2,199,16,1379767,1,157,0,1,1,92,1,1,1
Kepulauan Riau,Sumatera,0,0,0,0,670,28,397,245,1929400,0,347,0,15,4,59,0,1,1
Lampung,Sumatera,0,0,0,0,343,14,278,51,9095591,0,38,0,2,4,81,0,1,1
Maluku,Maluku,9,1,28,-20,1530,31,975,524,1847097,5,828,1,17,2,64,0,1,1
Maluku Utara,Maluku,2,0,0,2,1746,59,1037,650,1307803,2,1335,0,45,3,59,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,23,2,19,2,2481,134,1675,672,5270247,4,471,0,25,5,68,1,2,1
Papua,Papua,0,0,0,0,3432,37,2027,1368,4340348,0,791,0,9,1,59,0,1,1
Papua Barat,Papua,13,0,34,-21,620,7,486,127,1140701,11,544,0,6,1,78,6,1,1
Riau,Sumatera,23,0,23,0,1041,16,640,385,6074100,4,171,0,3,2,61,1,0,1
Sulawesi Barat,Sulawesi,1,0,6,-5,320,7,217,96,1559984,1,205,0,4,2,68,0,1,1
Sulawesi Selatan,Sulawesi,25,0,222,-197,10999,341,8039,2619,9426885,3,1167,0,36,3,73,0,0,1
Sulawesi Tengah,Sulawesi,1,0,0,1,228,7,197,24,2955567,0,77,0,2,3,86,0,1,1
Sulawesi Tenggara,Sulawesi,1,0,7,-6,1217,18,849,350,2635461,0,462,0,7,1,70,0,1,1
Sulawesi Utara,Sulawesi,27,1,82,-56,3315,149,2121,1045,2641884,10,1255,0,56,4,64,4,1,1
Sumatera Barat,Sumatera,37,2,4,31,1413,43,924,446,5519245,7,256,0,8,3,65,1,2,1
Sumatera Utara,Sumatera,130,8,81,41,5820,256,2749,2815,14874889,9,391,1,17,4,47,8,3,1
Aceh,Sumatera,63,0,0,63,1133,27,192,914,5247257,12,216,0,5,2,17,3,0,1
Bali,Nusa Tenggara,62,0,8,54,4216,21,1181,3014,4216171,15,1000,0,5,0,28,1,1,1
Bengkulu,Sumatera,6,0,0,6,286,24,158,104,1999539,3,143,0,12,8,55,6,1,1
DKI Jakarta,Jawa,551,18,570,-37,31014,1040,21186,8788,10846145,51,2859,2,96,3,68,1,1,1
Daerah Istimewa Yogyakarta,Jawa,31,0,18,13,1089,29,715,345,3631015,9,300,0,8,3,66,2,0,1
Gorontalo,Sulawesi,54,0,39,15,1874,46,1398,430,1180651,46,1587,0,39,2,75,2,1,1
Jawa Barat,Jawa,116,6,74,36,9385,258,5036,4091,45161325,3,208,0,6,3,54,1,3,1
Jawa Tengah,Jawa,135,8,145,-18,14941,1121,9939,3881,36364072,4,411,0,31,8,67,1,1,1
Jawa Timur,Jawa,338,27,485,-174,28636,2464,22104,4068,40479023,8,707,1,61,9,77,1,1,1
Kalimantan Barat,Kalimantan,4,0,1,3,456,4,410,42,5422814,1,84,0,1,1,90,1,1,1
Kalimantan Tengah,Kalimantan,0,0,0,0,2258,102,1712,444,2570289,0,878,0,40,5,76,0,0,1
Kalimantan Timur,Kalimantan,91,3,56,32,2668,99,1703,866,3552191,26,751,1,28,4,64,1,3,1
Kepulauan Bangka Belitung,Sumatera,3,0,3,0,220,2,202,16,1379767,2,159,0,1,1,92,2,1,1
Maluku,Maluku,23,0,22,1,1553,31,997,525,1847097,12,841,0,17,2,64,3,0,1
Maluku Utara,Maluku,10,0,458,-448,1756,59,1495,202,1307803,8,1343,0,45,3,85,5,1,1
Nusa Tenggara Barat,Nusa Tenggara,24,1,21,2,2505,135,1696,674,5270247,5,475,0,26,5,68,1,0,1
Papua Barat,Papua,14,0,25,-11,634,7,511,116,1140701,12,556,0,6,1,81,1,1,1
Riau,Sumatera,11,0,19,-8,1052,16,659,377,6074100,2,173,0,3,2,63,0,1,1
Sulawesi Barat,Sulawesi,2,0,1,1,322,7,218,97,1559984,1,206,0,4,2,68,2,1,1
Sulawesi Tengah,Sulawesi,5,0,0,5,233,7,197,29,2955567,2,79,0,2,3,85,5,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,1217,18,849,350,2635461,0,462,0,7,1,70,0,1,1
Sulawesi Utara,Sulawesi,21,0,38,-17,3336,149,2159,1028,2641884,8,1263,0,56,4,65,1,0,1
Sumatera Barat,Sumatera,26,2,20,4,1439,45,944,450,5519245,5,261,0,8,3,66,1,1,1
Sumatera Selatan,Sumatera,45,6,38,1,3964,213,2680,1071,8217551,5,482,1,26,5,68,5,6,1
Sumatera Utara,Sumatera,78,3,94,-19,5898,259,2843,2796,14874889,5,397,0,17,4,48,1,0,1
Aceh,Sumatera,4,0,0,4,1137,27,192,918,5247257,1,217,0,5,2,17,0,1,1
Bali,Nusa Tenggara,72,0,7,65,4288,21,1188,3079,4216171,17,1017,0,5,0,28,1,1,1
Banten,Jawa,23,2,35,-14,2394,119,1881,394,10722374,2,223,0,11,5,79,0,2,1
